layer,direction,strength,prompt_id,degree_entropy_interv,degree_entropy_base,achieved_entropy_change,associative_drift,perplexity,local_coherence
10,regularize,0.5,p004,0.0,1.7345328396190536,-1.7345328396190536,1.0839429944753647,,
10,regularize,0.5,p005,0.1225738904923899,1.144126385897105,-1.021552495404715,1.1356832087039948,,
11,regularize,0.5,p000,0.5186985041164479,1.6627794569874943,-1.1440809528710463,1.0878634303808212,,
11,regularize,0.5,p001,1.134759552623257,1.398096940930471,-0.2633373883072141,1.1039596050977707,,
11,regularize,0.5,p002,0.6684300071797574,1.197028660400242,-0.5285986532204846,1.1207557171583176,,
11,regularize,0.5,p003,0.5118376707011623,1.6641507189094962,-1.152313048208334,1.0866883918642998,,
11,regularize,0.5,p004,0.31772195339296944,1.679545961761729,-1.3618240083687596,1.0839429944753647,,
11,regularize,0.5,p005,0.6616877489003601,1.1382016897690401,-0.47651394086868004,1.1356832087039948,,
12,regularize,0.5,p000,1.2568267977198597,2.884109424448736,-1.6272826267288765,0.26096582412719727,4.640098895175608,1.0
12,regularize,0.5,p001,1.5165315720958628,2.77684407106827,-1.2603124989724073,0.19730877876281738,4.841738476875806,1.0
12,regularize,0.5,p002,2.0114465993325403,2.7182474639575958,-0.7068008646250554,0.27393126487731934,3.249354709376797,1.0
12,regularize,0.5,p003,1.529223600828048,2.951530021637936,-1.422306420809888,0.3126727342605591,3.865778928430294,1.0
12,regularize,0.5,p004,1.5145235224266291,2.9185260098409316,-1.4040024874143024,0.30818378925323486,4.947642920030728,1.0
12,regularize,0.5,p005,1.9468817170466348,2.6283119528634833,-0.6814302358168485,0.24302732944488525,3.699382477912899,1.0
13,regularize,0.5,p000,0.0,1.468805714704338,-1.468805714704338,1.0878634303808212,,
13,regularize,0.5,p001,0.0,1.500552562448013,-1.500552562448013,1.1039596050977707,,
13,regularize,0.5,p002,0.0,1.1213761213112723,-1.1213761213112723,1.1207557171583176,,
13,regularize,0.5,p003,0.0,1.4698573297692117,-1.4698573297692117,1.0866883918642998,,
13,regularize,0.5,p004,0.0,1.4954201926703024,-1.4954201926703024,1.0839429944753647,,
13,regularize,0.5,p005,0.1225738904923899,1.08006316897856,-0.9574892784861702,1.1356832087039948,,
14,regularize,0.5,p000,2.2657847592555154,2.9952250418471236,-0.7294402825916082,0.2694220542907715,4.8632978409903105,1.0
14,regularize,0.5,p001,2.3564198074816303,2.787975330542149,-0.4315555230605188,0.21361052989959717,4.310895946061835,1.0
14,regularize,0.5,p002,2.0546307129882804,2.665974640066945,-0.6113439270786647,0.29962384700775146,3.0926333842877667,1.0
14,regularize,0.5,p003,2.205661112278939,3.049893429027718,-0.8442323167487791,0.2855890393257141,4.390734820869815,1.0
14,regularize,0.5,p004,2.312117464282605,2.9337088230048085,-0.6215913587222035,0.22319799661636353,4.86481528416098,1.0
14,regularize,0.5,p005,2.1953028500645986,2.6442893592010246,-0.448986509136426,0.26524239778518677,3.454829662469179,1.0
15,regularize,0.5,p000,0.0,2.9318738284218577,-2.9318738284218577,0.18591022491455078,4.287484335993869,1.0
15,regularize,0.5,p001,0.0,2.8052048067133044,-2.8052048067133044,0.23099327087402344,4.316890114471018,1.0
15,regularize,0.5,p002,0.0,2.695316919344901,-2.695316919344901,0.22703182697296143,3.5595287665380297,1.0
15,regularize,0.5,p003,0.0,2.9594401004271726,-2.9594401004271726,0.2353866696357727,4.438478433795415,1.0
15,regularize,0.5,p004,0.0,2.8784040778444426,-2.8784040778444426,0.30448031425476074,4.883952279150342,1.0
15,regularize,0.5,p005,0.0,2.6739607410521034,-2.6739607410521034,0.3049982786178589,3.424725371710271,1.0
