prompt_id,layer,flattened,output_rel_l2_shift,output_cosine_shift,entropy_baseline,entropy_intervened,entropy_shift,mean_maxprob_baseline,mean_maxprob_intervened
p003,11,True,1.3856368165620196,0.637563019990921,0.2649444043636322,0.5174701809883118,0.25252577662467957,0.7693707942962646,0.4982509911060333
p003,12,True,1.3919787301464834,0.6032195389270782,0.26813673973083496,0.5050822496414185,0.2369455099105835,0.7569667100906372,0.5000365376472473
p003,13,True,1.4134029352274995,0.6554344296455383,0.23327109217643738,0.43472379446029663,0.20145270228385925,0.7923057675361633,0.5781534910202026
p003,14,True,1.4739798932199222,0.5233648419380188,0.24829648435115814,0.4804331660270691,0.23213668167591095,0.7756980061531067,0.5383962392807007
p003,15,True,1.1179671152399326,0.4651144742965698,0.24826814234256744,0.5464349985122681,0.2981668561697006,0.7608373165130615,0.45117995142936707
p004,0,True,0.7319035752799369,0.2842724323272705,0.32434511184692383,0.6455293893814087,0.32118427753448486,0.6973334550857544,0.32835668325424194
p004,1,True,1.3886493974321907,0.5140390396118164,0.19205886125564575,0.6053560376167297,0.413297176361084,0.8351705074310303,0.3854297697544098
p004,2,True,2.2448755078414333,0.6673072576522827,0.17948344349861145,0.5936660766601562,0.4141826331615448,0.8570825457572937,0.4024374485015869
p004,3,True,1.7911641925236221,0.6429603397846222,0.28222545981407166,0.6372547149658203,0.35502925515174866,0.7500331997871399,0.31598812341690063
p004,4,True,1.812266179145026,0.7209608256816864,0.28652486205101013,0.6119835376739502,0.32545867562294006,0.7383756041526794,0.3683881163597107
p004,5,True,1.363718749839678,0.711110532283783,0.3204367160797119,0.5900607109069824,0.2696239948272705,0.6995527148246765,0.38631439208984375
p004,6,True,1.3400018364854382,0.7123266160488129,0.3844439685344696,0.5993375182151794,0.21489354968070984,0.6209912300109863,0.3728845417499542
p004,7,True,1.24033138424844,0.6562384366989136,0.37260738015174866,0.5992994904518127,0.2266921103000641,0.6640315651893616,0.41518697142601013
p004,8,True,1.2824213388238412,0.6922080814838409,0.37018924951553345,0.5532294511795044,0.18304020166397095,0.6542715430259705,0.45116132497787476
p004,9,True,1.2534419327112813,0.6852390468120575,0.38133329153060913,0.5976055264472961,0.216272234916687,0.6264969706535339,0.3693867623806
p004,10,True,1.3919334783930775,0.645665168762207,0.3181169629096985,0.5351083874702454,0.21699142456054688,0.706978440284729,0.45801061391830444
p004,11,True,1.3813948431210863,0.6334030032157898,0.2623786926269531,0.5134568214416504,0.25107812881469727,0.7720361948013306,0.49801328778266907
p004,12,True,1.392802773028053,0.6022372841835022,0.26672273874282837,0.49860823154449463,0.23188549280166626,0.7583664059638977,0.5013153553009033
p004,13,True,1.4136619991919819,0.6627124547958374,0.23153585195541382,0.43133118748664856,0.19979533553123474,0.7945840358734131,0.5788524746894836
p004,14,True,1.4832356276703629,0.5314399600028992,0.2503443658351898,0.47789454460144043,0.2275501787662506,0.7729535102844238,0.5381712913513184
p004,15,True,1.1213247723685484,0.46810150146484375,0.2487516850233078,0.5398085117340088,0.291056826710701,0.7603261470794678,0.45636752247810364
p005,0,True,0.6935807133108153,0.23452579975128174,0.26984259486198425,0.565354585647583,0.29551199078559875,0.7942859530448914,0.5081356167793274
p005,1,True,1.3818888028420653,0.37801265716552734,0.1869940459728241,0.5374239087104797,0.35042986273765564,0.876605212688446,0.5492278933525085
p005,2,True,1.7160296922295186,0.4899657964706421,0.16696099936962128,0.53099125623703,0.36403025686740875,0.8983322381973267,0.565302312374115
p005,3,True,1.5133237948262879,0.5383815169334412,0.24493761360645294,0.5583416223526001,0.31340400874614716,0.8358902335166931,0.519125759601593
p005,4,True,1.3128262603779317,0.5818751752376556,0.2401256561279297,0.542110800743103,0.30198514461517334,0.836657702922821,0.5431556701660156
p005,5,True,1.1586442513070647,0.5911495089530945,0.21974888443946838,0.5238524079322815,0.3041035234928131,0.8440079092979431,0.5548092126846313
p005,6,True,1.100479534823027,0.4959235191345215,0.2865125238895416,0.5186042785644531,0.2320917546749115,0.7919716238975525,0.559674084186554
p005,7,True,0.8958233258920023,0.3604043126106262,0.2666308283805847,0.5244442820549011,0.2578134536743164,0.8245391845703125,0.577566921710968
p005,8,True,0.9916746676003416,0.4123295545578003,0.2731526792049408,0.4995957016944885,0.22644302248954773,0.8055900931358337,0.5889007449150085
